date,Region,Municipality,cases,deaths,ncases,ndeaths
2020-03-23,Costal,Bar,0,0,0,0
2020-03-23,Costal,Budva,0,0,0,0
2020-03-23,Costal,Herceg Novi,0,0,0,0
2020-03-23,Costal,Kotor,0,0,0,0
2020-03-23,Costal,Tivat,0,0,0,0
2020-03-23,Costal,Ulcinj,0,0,0,0
2020-03-23,Northern,Andrijevica,0,0,0,0
2020-03-23,Northern,Berane,0,0,0,0
2020-03-23,Northern,Bijelo Polje,0,0,0,0
2020-03-23,Northern,Gusinje,0,0,0,0
2020-03-23,Northern,Kolasin,0,0,0,0
2020-03-23,Northern,Mojkovac,0,0,0,0
2020-03-23,Northern,Petnjica,0,0,0,0
2020-03-23,Northern,Plav,0,0,0,0
2020-03-23,Northern,Pluzine,0,0,0,0
2020-03-23,Northern,Rozaje,0,0,0,0
2020-03-23,Northern,Savnik,0,0,0,0
2020-03-23,Northern,Zabljak,0,0,0,0
2020-03-23,Northern,Pljevlja,0,0,0,0
2020-03-24,Central,Podgorica,0,0,0,0
2020-03-24,Central,Cetinje,0,0,0,0
2020-03-24,Central,Danilovgrad,0,0,0,0
2020-03-24,Central,Niksic,0,0,0,0
2020-03-24,Central,Tuzi,0,0,0,0
2020-03-24,Costal,Bar,0,0,0,0
2020-03-24,Costal,Budva,0,0,0,0
2020-03-24,Costal,Herceg Novi,0,0,0,0
2020-03-24,Costal,Kotor,0,0,0,0
2020-03-24,Costal,Tivat,0,0,0,0
2020-03-24,Costal,Ulcinj,0,0,0,0
2020-03-24,Northern,Andrijevica,0,0,0,0
2020-03-24,Northern,Berane,0,0,0,0
2020-03-24,Northern,Bijelo Polje,0,0,0,0
2020-03-24,Northern,Gusinje,0,0,0,0
2020-03-24,Northern,Kolasin,0,0,0,0
2020-03-24,Northern,Mojkovac,0,0,0,0
2020-03-24,Northern,Petnjica,0,0,0,0
2020-03-24,Northern,Plav,0,0,0,0
2020-03-24,Northern,Pluzine,0,0,0,0
2020-03-24,Northern,Rozaje,0,0,0,0
2020-03-24,Northern,Savnik,0,0,0,0
2020-03-24,Northern,Zabljak,0,0,0,0
2020-03-24,Northern,Pljevlja,0,0,0,0
2020-03-25,Central,Podgorica,0,0,0,0
2020-03-25,Central,Cetinje,0,0,0,0
2020-03-25,Central,Danilovgrad,0,0,0,0
2020-03-25,Central,Niksic,0,0,0,0
2020-03-25,Central,Tuzi,0,0,0,0
2020-03-25,Costal,Bar,0,0,0,0
2020-03-25,Costal,Budva,0,0,0,0
2020-03-25,Costal,Herceg Novi,0,0,0,0
2020-03-25,Costal,Kotor,0,0,0,0
2020-03-25,Costal,Tivat,0,0,0,0
2020-03-25,Costal,Ulcinj,0,0,0,0
2020-03-25,Northern,Andrijevica,0,0,0,0
2020-03-25,Northern,Berane,0,0,0,0
2020-03-25,Northern,Bijelo Polje,0,0,0,0
2020-03-25,Northern,Gusinje,0,0,0,0
2020-03-25,Northern,Kolasin,0,0,0,0
2020-03-25,Northern,Mojkovac,0,0,0,0
2020-03-25,Northern,Petnjica,0,0,0,0
2020-03-25,Northern,Plav,0,0,0,0
2020-03-25,Northern,Pluzine,0,0,0,0
2020-03-25,Northern,Rozaje,0,0,0,0
2020-03-25,Northern,Savnik,0,0,0,0
2020-03-25,Northern,Zabljak,0,0,0,0
2020-03-25,Northern,Pljevlja,0,0,0,0
2020-03-26,Central,Podgorica,27,0,27,0
2020-03-26,Central,Cetinje,0,0,0,0
2020-03-26,Central,Danilovgrad,1,0,1,0
2020-03-26,Central,Niksic,0,0,0,0
2020-03-26,Central,Tuzi,26,0,26,0
2020-03-26,Costal,Bar,3,0,3,0
2020-03-26,Costal,Budva,4,0,4,0
2020-03-26,Costal,Herceg Novi,4,0,4,0
2020-03-26,Costal,Kotor,0,0,0,0
2020-03-26,Costal,Tivat,0,0,0,0
2020-03-26,Costal,Ulcinj,3,0,3,0
2020-03-26,Northern,Andrijevica,1,0,1,0
2020-03-26,Northern,Berane,0,0,0,0
2020-03-26,Northern,Bijelo Polje,0,0,0,0
2020-03-26,Northern,Gusinje,0,0,0,0
2020-03-26,Northern,Kolasin,0,0,0,0
2020-03-26,Northern,Mojkovac,0,0,0,0
2020-03-26,Northern,Petnjica,0,0,0,0
2020-03-26,Northern,Plav,0,0,0,0
2020-03-26,Northern,Pluzine,0,0,0,0
2020-03-26,Northern,Rozaje,0,0,0,0
2020-03-26,Northern,Savnik,0,0,0,0
2020-03-26,Northern,Zabljak,0,0,0,0
2020-03-26,Northern,Pljevlja,0,0,0,0
2020-03-27,Central,Podgorica,27,0,0,0
2020-03-27,Central,Cetinje,0,0,0,0
2020-03-27,Central,Danilovgrad,1,0,0,0
2020-03-27,Central,Niksic,0,0,0,0
2020-03-27,Central,Tuzi,27,0,1,0
2020-03-27,Costal,Bar,3,0,0,0
2020-03-27,Costal,Budva,4,0,0,0
2020-03-27,Costal,Herceg Novi,4,0,0,0
2020-03-27,Costal,Kotor,0,0,0,0
2020-03-27,Costal,Tivat,0,0,0,0
2020-03-27,Costal,Ulcinj,3,0,0,0
2020-03-27,Northern,Andrijevica,6,0,5,0
2020-03-27,Northern,Berane,0,0,0,0
2020-03-27,Northern,Bijelo Polje,0,0,0,0
2020-03-27,Northern,Gusinje,0,0,0,0
2020-03-27,Northern,Kolasin,0,0,0,0
2020-03-27,Northern,Mojkovac,0,0,0,0
2020-03-27,Northern,Petnjica,0,0,0,0
2020-03-27,Northern,Plav,0,0,0,0
2020-03-27,Northern,Pluzine,0,0,0,0
